City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
205,maceio,0,BR,1552348800,83,-9.67,-35.74,77.0,6.93
206,hualmay,36,PE,1552351750,73,-11.1,-77.61,74.52,4.97
207,seka,20,ET,1552351910,89,7.6,36.72,54.99,3.18
208,millbrook,1,US,1552351832,100,32.48,-86.36,57.0,10.22
209,kirsanov,92,RU,1552351910,97,52.65,42.73,32.53,5.86
210,sunndalsora,0,NO,1552350000,85,62.68,8.55,28.4,6.93
211,blagoyevo,80,RU,1552351911,93,63.37,47.92,28.75,4.97
212,samana,0,EC,1552348800,88,0.12,-76.97,78.8,1.12
213,kota kinabalu,75,MY,1552348800,78,5.98,116.07,80.6,3.36
214,boende,24,CD,1552351911,87,-0.28,20.88,76.59,3.4
215,rockhampton,8,AU,1552348800,55,-23.38,150.51,87.8,6.93
216,bethel,90,US,1552350120,89,60.79,-161.76,32.0,16.11
217,ishinomaki,75,JP,1552348800,46,38.42,141.3,50.0,2.24
218,parry sound,92,CA,1552351901,68,45.34,-80.04,28.0,1.99
219,dicabisagan,88,PH,1552351912,100,17.08,122.42,71.05,2.39
220,tomatlan,8,MX,1552351912,55,19.93,-105.25,80.86,5.19
221,scarborough,92,GB,1552351869,75,54.28,-0.41,44.6,12.75
222,kruisfontein,0,ZA,1552351913,81,-34.0,24.73,66.87,10.33
223,zhigansk,64,RU,1552351913,78,66.77,123.37,6.66,8.1
224,uvat,76,RU,1552351913,100,59.14,68.9,29.83,4.07
225,koping,0,SE,1552351892,53,59.51,15.99,24.01,8.05
226,russell,20,AR,1552348800,68,-33.01,-68.8,64.4,2.06
227,idar,24,DE,1552351785,72,49.72,7.3,37.4,4.7
228,alekseyevsk,92,RU,1552351913,73,57.84,108.35,21.64,7.76
229,moron,80,VE,1552351914,85,10.49,-68.2,70.06,4.85
230,strezhevoy,0,RU,1552348800,92,60.73,77.6,23.0,4.47
231,atar,0,MR,1552351823,22,20.52,-13.05,66.73,9.66
232,gazanjyk,32,TM,1552351914,87,39.24,55.52,42.84,7.76
233,gizo,0,IL,1552351616,87,31.8,34.94,53.01,3.36
234,lac du bonnet,20,CA,1552351841,83,50.25,-96.06,21.0,7.0
235,mandera,0,ET,1552351610,27,3.94,41.86,75.99,4.63
236,hobyo,8,SO,1552351915,82,5.35,48.53,78.66,13.91
237,sargur,8,IN,1552351915,91,11.98,76.42,67.27,1.95
238,namatanai,80,PG,1552351915,100,-3.66,152.44,81.49,12.35
239,mount isa,0,AU,1552348800,44,-20.73,139.49,93.2,11.41
240,moorhead,1,US,1552351576,78,46.87,-96.75,24.8,13.87
241,cherskiy,48,RU,1552351763,75,68.75,161.3,-3.25,3.18
242,san policarpo,48,PH,1552351915,94,12.18,125.51,77.76,4.85
243,ahipara,12,NZ,1552348782,92,-35.17,173.16,73.99,8.99
244,veraval,0,FR,1552351839,75,49.65,0.71,44.6,9.17
245,peachland,40,CA,1552351816,59,49.77,-119.75,37.0,8.05
246,polunochnoye,88,RU,1552351916,89,60.87,60.43,26.82,6.98
247,mozarlandia,8,BR,1552351835,91,-14.74,-50.57,74.79,3.18
248,iaciara,12,BR,1552351916,88,-14.1,-46.63,74.74,2.62
249,saint george,75,GR,1552348200,44,39.45,22.34,60.8,9.17
250,kaseda,8,JP,1552351389,71,31.42,130.32,55.99,4.7
251,innisfail,75,CA,1552351817,64,52.02,-113.95,45.0,8.05
252,montgomery,1,US,1552351662,100,32.37,-86.3,57.2,10.22
253,ponta delgada,75,PT,1552351893,93,37.73,-25.67,59.0,4.7
254,antofagasta,75,CL,1552348800,68,-23.65,-70.4,68.0,11.41
255,quatre cocos,20,MU,1552351747,88,-20.21,57.76,75.0,3.36
256,barcelos,12,PT,1552351638,100,41.53,-8.62,52.0,0.94
257,klaksvik,92,FO,1552350000,93,62.23,-6.59,39.2,41.38
258,amapa,75,HN,1552348800,74,15.09,-87.97,82.4,14.99
259,vestmanna,92,FO,1552350000,93,62.16,-7.17,39.2,41.38
260,tutoia,32,BR,1552351917,82,-2.76,-42.27,80.23,10.45
261,tuatapere,0,NZ,1552351206,81,-46.13,167.69,66.0,5.99
262,onverwacht,0,SR,1552351822,78,5.59,-55.2,78.8,5.82
263,touros,76,BR,1552351917,81,-5.2,-35.46,82.84,11.79
264,cap malheureux,20,MU,1552351747,88,-19.98,57.61,75.0,3.36
265,craig,75,US,1552351880,74,40.52,-107.55,37.4,3.18
266,sibolga,36,ID,1552351848,100,1.74,98.78,67.32,2.17
267,povoa de santa iria,0,PT,1552351843,81,38.86,-9.06,54.0,10.29
268,grand gaube,20,MU,1552351747,88,-20.01,57.66,75.0,3.36
269,yamada,40,JP,1552351803,61,36.58,137.08,55.0,12.75
270,lodwar,0,KE,1552351918,59,3.12,35.6,69.34,3.18
271,gonen,0,IL,1552351657,93,33.12,35.65,48.0,2.39
272,ganta,44,LR,1552351918,72,7.31,-8.54,74.92,4.18
273,axim,0,GH,1552351918,98,4.87,-2.24,82.93,7.43
274,tilichiki,0,RU,1552351919,74,60.47,166.1,7.69,3.96
275,aguimes,20,ES,1552351834,82,27.91,-15.45,63.0,14.99
276,sinjar,0,SY,1552351919,95,35.59,37.0,44.86,6.98
277,launceston,40,AU,1552351590,38,-41.43,147.14,61.0,10.29
278,shingu,20,JP,1552348800,54,33.72,135.99,53.6,5.82
279,ternate,40,PH,1552351686,69,14.29,120.72,82.99,6.93
280,katherine,40,AU,1552348800,66,-14.47,132.26,86.0,5.82
281,saint-pierre,0,FR,1552351881,80,48.95,4.24,33.8,6.93
282,bahia blanca,92,AR,1552351920,57,-38.72,-62.27,72.99,12.35
283,corrales,80,CO,1552351920,78,5.83,-72.84,56.61,1.83
284,kindu,20,CD,1552351920,98,-2.95,25.92,70.24,2.62
285,longyearbyen,20,NO,1552348200,59,78.22,15.63,-0.41,1.12
